row ID,row m/z,row retention time,L_C18_Polar_16_MS2_DF_125_01.mzML Peak area,L_C18_Polar_16_MS2_DF_125_02.mzML Peak area,L_C18_Polar_16_MS2_DF_25_02.mzML Peak area,L_C18_Polar_16_MS2_DF_125_03.mzML Peak area,L_C18_Polar_16_MS2_DF_25_01.mzML Peak area,L_C18_Polar_16_MS2_DF_5_01.mzML Peak area,L_C18_Polar_16_MS2_DF_25_03.mzML Peak area,L_C18_Polar_16_MS2_DF_625_01.mzML Peak area,L_C18_Polar_16_MS2_DF_625_02.mzML Peak area,L_C18_Polar_16_MS2_DF_5_02.mzML Peak area,L_C18_Polar_16_MS2_DF_5_03.mzML Peak area,L_C18_Polar_16_MS2_DF_625_03.mzML Peak area,L_C18_Polar_16_MS2_DF_1_01.mzML Peak area,L_C18_Polar_16_MS2_DF_1_02.mzML Peak area,L_C18_Polar_16_MS2_DF_1_03.mzML Peak area,
47,171.99271392822266,13.172702222222222,1.0173495663738468E8,9.258909237008806E7,9.134968391802527E7,1.0679235044925311E8,1.0616943716439368E8,6.193924042295518E7,1.1244663988861887E8,8.345871412440482E7,1.0378737536520477E8,9.961189251372755E7,9.957506900206043E7,9.97919160887083E7,9.39979545731841E7,9.828825446229209E7,8.823923430439925E7,
48,203.05230763753255,0.30367922222222227,1.921324422235744E7,2.4892984191819422E7,6.59031369140076E7,2.7447246397129398E7,4.38014849247262E7,1.1419439358116221E8,8.403967586240587E7,9503856.530984856,1.3239869245473195E7,1.1081381546907021E8,3.3237094612191087E8,1.372806224542558E7,1.981953348314551E8,2.4620266932018387E8,4.0357419273415893E8,
49,217.10461021098277,0.9750406666666667,1.6799277281246003E7,1.5073869780523622E7,1.862969643440463E7,1.5629833574837092E7,1.4652145369679393E7,2.604668517897267E7,5066183.038918753,6043923.018980469,6477775.836517301,2.3402465922579166E7,6438373.223595313,9702135.774787052,2.6687767752883628E7,2.295936545657397E7,1.2256258899866793E7,
50,132.07659149169922,0.3093151111111111,1.8144669268816717E7,1.707486856927446E7,2.6805039660241514E7,9498481.704863986,2.3176522438463137E7,3.3559713688868456E7,2.280782664076576E7,1.1242616232965251E7,6345565.872670856,2.5428044374977384E7,4.169713270540565E7,8194877.108439771,7.139698670269573E7,5.506597762280853E7,5.093434882925606E7,
51,166.0973668416341,12.79946222222222,2.607705880306609E7,1.2457527899761818E7,1.8172042065168127E7,2.0395515625605658E7,1.855295052578179E7,1.4899727651617015E7,2.0676034620035484E7,2.7048888910880074E7,1.0824349569951678E7,1.6612341375761576E7,2.47151767829072E7,6357466.8055420015,1.1173570264362317E7,9316604.332726518,1.326380731061174E7,
52,169.03545583089192,0.38991722222222225,1.1891057525151858E7,6756334.459817487,4.457471241685064E7,1.4507849408033293E7,4.7313997301918454E7,4.407978038341962E7,3.2678227043219298E7,3211217.823426673,3347835.217887406,5.644311680006993E7,7.184777165874629E7,3879043.589207293,4.866414829680861E7,3.678740087788574E7,5.260637474265564E7,
53,182.08099619547525,0.4625086666666666,1.2547874460203419E7,1.329355213275232E7,5.470612799846204E7,1.3562983871825505E7,5.349947879593464E7,1.631863359713455E8,5.147958863706962E7,4508023.751851823,3457960.538884171,1.6771626772590932E8,1.5216281802450117E8,4621954.970078588,3.4872882755274576E8,3.637754392527959E8,3.7404215724212205E8,
54,130.15884145100912,12.771681111111112,2.0743472966864467E7,1.2293554832297608E7,1.3333191419455385E7,1.7493967314447854E7,1.4952498162202416E7,1.1176960115568735E7,2.1224790298824333E7,1.287430027586232E7,7324708.469787228,1.328821255254833E7,1.802411273446062E7,1.0562381360102918E7,9914811.840127943,1.2164282158680836E7,1.1345472525737412E7,
55,114.06608403523764,0.3046128888888889,1.5007581243022239E7,1.3380159116543232E7,2.36384408210311E7,1.2189734787991669E7,1.5880981743105061E7,3.382509363581399E7,2.90035399858668E7,5924016.42348586,7080398.111657387,2.831842499674108E7,4.122885568888571E7,6737276.321716927,7.500637035741067E7,7.409056964263405E7,6.966961009825827E7,
56,120.08061116536459,0.7682316666666666,1.2578158600494849E7,1.2440255621884694E7,5.943623782403507E7,1.24134748210215E7,5.5641058907111794E7,2.7309639142769545E8,4.8203037266318634E7,4054288.685582404,2970474.969548101,2.742513179115247E8,2.0040740042296728E8,3921193.47052911,1.37738790104017E9,1.2608375875726027E9,1.1437670019427097E9,
57,150.10247395833332,12.779542222222224,1.7613901910304897E7,7406773.630620224,1.067126462191311E7,1.0509198733100437E7,1.3761741934781302E7,1.1255547509944271E7,1.4389045195330068E7,1.5344964184452489E7,4020685.226302896,1.1194318338723099E7,1.2281574091045145E7,5531736.969541239,8745174.990770997,9867844.097917058,9531339.007512547,
58,176.97168072412884,13.17795888888889,5.2412436941508956E7,7593539.78224986,5.867392380948064E7,4.336468681503747E7,1.1813137266812079E8,7.199444179956266E7,3475853.46362528,7.15351855876645E7,2379940.272624326,2.6255212934887238E7,3.40017312685931E7,2.7257283689253125E7,2.8495988035761856E7,2.5892828744199354E7,5.517974173686654E7,
59,136.11190287272134,12.764978888888889,1.841715709118034E7,1.2234868240500724E7,1.2913382861304337E7,1.3875577898357818E7,1.4488168162210217E7,1.2299097403496932E7,1.733795723057955E7,1.42880004341216E7,7209326.880925609,1.2863253830930784E7,1.7328776578406334E7,9110506.950610006,8627521.291466115,1.0034564425301738E7,9976292.323582256,
60,143.99662017822266,13.040322222222223,2.329654829325169E7,1.835509145111912E7,2.445653440125451E7,2.594395649111914E7,3.0751513836964414E7,1.810956465008632E7,4313355.16929768,3.039508373045538E7,3.345701844458336E7,3299985.076860134,3.613802168647465E7,3.2129668666767888E7,1.1990847132134035E7,3.345276419256682E7,1.3688879426577255E7,
61,337.23419596354165,7.022414444444445,5999846.722816375,6072010.266279386,1.4958492750815947E7,5057217.386117526,1.2063286236310031E7,1.802264700577853E7,2.6089304944553886E7,1536804.3852533484,1581346.8709464278,7758052.487779826,1.3580312132565888E7,1768782.985087409,4.3302416791313805E7,3.746091560450844E7,2.7310771127694968E7,
62,147.07622578938802,0.30679633333333334,1.5266385103531113E7,1.4525851741213316E7,2.4782043217567153E7,1.1701284071628949E7,1.0542946859904317E7,3.045953852742187E7,2.5688119074115325E7,8889588.596238952,7246507.320331063,2.1098035787052263E7,4.17053310046494E7,8958263.945337543,3.591976024824724E7,2.370361217080483E7,4.888518820571424E7,
63,287.88792407537574,0.0373996,1888427.8643022873,2407283.125447813,1945716.131588084,2544591.818922579,1693102.3217013685,1673406.048893668,2293152.331699845,1730308.629602165,2326624.3537480463,2170411.3598931255,2283255.3025500006,2381566.9212988755,1941103.9297191035,2660275.258482185,2394479.3185972655,
64,628.1940063476562,10.192152222222225,1.0898819382061768E7,2915430.6419161214,5972990.558865306,5519321.8479518425,1.0037077262210205E7,8493687.59886851,8921945.79221522,7580442.020836603,1049894.1793376005,8109546.8317057565,1.7974882227940213E7,1499565.6500353406,7351856.408331625,6891211.950629847,1.1644445895539546E7,
65,302.304355875651,6.668114444444443,1.1366498791072153E7,1.1560585440975651E7,1.1502160590033123E7,1.1306074129841695E7,1.175420815361622E7,1.0381024938827338E7,1.109361688215889E7,1.110935780087465E7,1.1359190052093903E7,1.0563518578802112E7,1.0345531012646405E7,1.1868652252507659E7,9183594.131178511,9131616.688022336,1.0857023996517112E7,
66,148.0866485595703,12.79116777777778,1.2935100162236512E7,4220967.281906338,6894279.976248061,6633112.3289467655,1.0898896030209903E7,9093633.969186481,8924539.853131449,1.0099826034578832E7,2514198.28623867,8241121.574967556,1.225915774870636E7,3311762.112069922,6611185.257985485,5840510.1238658745,6642432.761571887,
67,702.2130330403646,10.574322222222223,7107259.881913204,3528826.701649686,4595614.708756897,7429428.064567947,4881339.19520553,5721894.925570801,9624558.08438186,4067871.655418161,1544416.9778910265,6475835.974253882,1.3383331051232606E7,2263806.7970546684,6327947.799363615,6839844.695300094,7853735.401352335,
68,288.91838989257815,13.013980000000002,3.2047443481624074E7,3.469525093062211E7,3.341571487423057E7,4.05188422663273E7,3.0131447654791538E7,2.673265935872407E7,2.9338344790688206E7,2.7819220498503007E7,3.368317570700137E7,2.8192377670452382E7,2.6158003042433027E7,2.627105964733193E7,3.502692863821578E7,3.7601027279610075E7,3.064482255802385E7,
69,230.24756520589193,6.128778888888888,9403326.245854154,9630917.792779585,1.0014658996540347E7,8668274.147310626,9630378.18927883,8707664.230991801,8116887.093176682,8999397.606634634,9401309.179531828,8614960.889520098,8049593.176412894,8548768.919890784,7358309.018773834,6400632.966777491,5738453.564749964,
70,524.3703633626302,8.150049999999998,1.095689432081518E7,9785275.459913798,5.254275883407435E7,1.5599744661864819E7,5.271135979078888E7,3.195405847808699E8,7.168984464509444E7,1320436.41725764,3750072.4444445465,3.3865917272187513E8,5.724817087040669E8,3157325.200323292,1.294764897400451E9,1.7139627066005902E9,2.159659617515347E9,
71,162.102370707194,12.788053333333332,1.2450176359954871E7,3958036.128786149,6105599.798264832,5445597.170561177,8959175.752018083,7805434.861032664,8650276.090820609,9508802.437749183,2074184.177980855,7033161.152307588,1.0724586629053285E7,2597127.608098181,5841769.678653266,5469420.331074783,5941310.269761974,
72,137.10710906982422,12.787667777777777,1.5869814729218466E7,5837305.5783306,8651365.82448915,8727074.214877728,1.2052468246646658E7,9975493.850085273,1.0734549537744682E7,1.442058529020518E7,3432560.434778466,1.0151242514080806E7,1.5087964589089192E7,2420245.826671156,7560311.921092604,6708146.672347268,5677803.509970462,
73,194.1173314412435,13.91072888888889,3.275108748357148E7,2.907681234335409E7,3.0666900378035717E7,2.8099579617625173E7,3.600310143435415E7,2.924287981590179E7,2.680741514892851E7,3.945798839375898E7,3.752290070205062E7,3.574155787141969E7,2.5728826881470326E7,2.478531223390784E7,3.590213944620541E7,3.8284853974428564E7,3.511292878607433E7,
74,104.10684075274018,0.2910541111111111,7547350.456598638,7820405.202749406,3.0408365141812734E7,6858278.544195114,2.7346527609160345E7,7.45025363337445E7,2.0718197015359506E7,3999287.7034880756,2856493.10030703,6.973970921190922E7,7.347565856973751E7,4582315.206850223,1.8125276872280866E8,1.590122324185705E8,1.537312222860155E8,
75,205.01687876383463,12.84981222222222,8388807.168650351,3602133.5249241064,5216587.077843805,6237090.787634745,1.274663200874612E7,6513775.960930758,1.0631057217111599E7,7494944.487908229,4128750.604730285,1.1665089625523442E7,1.2177612994517826E7,5233090.527297257,4754701.15775076,4757132.392460639,9502285.749549069,
76,554.1753336588541,9.686851111111109,9990273.048583567,3441962.6714412137,6556583.96720253,6567868.045202959,5651029.174835505,1.1483369539297344E7,8796718.71393339,7481584.530988658,2858639.890122768,9953514.545006614,1.79343128658608E7,3417309.118345228,2.0619721727487512E7,2.5671240608836263E7,3.0482592726227455E7,
