row ID,row m/z,row retention time,L_C18_Polar_16_MS2_DF_1_01.mzML Peak area,L_C18_Polar_16_MS2_DF_1_02.mzML Peak area,L_C18_Polar_16_MS2_DF_1_03.mzML Peak area,L_C18_Polar_16_MS2_DF_25_02.mzML Peak area,L_C18_Polar_16_MS2_DF_25_01.mzML Peak area,L_C18_Polar_16_MS2_DF_25_03.mzML Peak area,L_C18_Polar_16_MS2_DF_5_01.mzML Peak area,L_C18_Polar_16_MS2_DF_5_02.mzML Peak area,L_C18_Polar_16_MS2_DF_5_03.mzML Peak area,L_C18_Polar_16_Blk_no_inj_02.mzML Peak area,L_C18_Polar_16_Blk_no_inj_04.mzML Peak area,L_C18_Polar_16_Blk_no_inj_06.mzML Peak area,L_C18_Polar_16_Blk_no_inj_08.mzML Peak area,L_C18_Polar_16_MS2_DF_625_01.mzML Peak area,L_C18_Polar_16_MS2_DF_625_02.mzML Peak area,L_C18_Polar_16_MS2_DF_625_03.mzML Peak area,L_C18_Polar_16_MS2_DF_125_03.mzML Peak area,L_C18_Polar_16_MS2_DF_125_02.mzML Peak area,L_C18_Polar_16_MS2_DF_125_01.mzML Peak area
11,218.211380992883,276.557861554726,7743330,9116640.0,8507700.0,7118870.0,8654520.0,7712220.0,7652110.0,8009840.0,8259590.0,7561080.0,5775940.0,6610260.0,7646500.0,7566420.0,7529920.0,7704380.0,7913010.0,7571950.0,8075650.0
12,140.06872979463,770.495366123537,12901100,13919500.0,2141120.0,12128300.0,16631700.0,2864930.0,18684200.0,2527190.0,3118800.0,4389680.0,4307210.0,1303670.0,17499300.0,45567900.0,29194900.0,5308410.0,6554190.0,29588600.0,1858210.0
13,287.887595303411,6.423865899112,1545240,1660250.0,1969970.0,1781880.0,1614410.0,1438480.0,1696540.0,1298040.0,1574930.0,1596270.0,0.0,0.0,2019730.0,2195080.0,1449670.0,1681190.0,2005000.0,1935000.0,1882610.0
14,151.035074485356,16.3211909751962,13384100,16109900.0,21909400.0,18980100.0,18767600.0,14071200.0,12651600.0,12172500.0,18678700.0,10289800.0,1460960.0,1524350.0,4294780.0,3819750.0,24906500.0,14218100.0,24381600.0,13663600.0,12777000.0
15,173.057645290428,759.351470635578,7078650,6893210.0,5366550.0,5116590.0,4211920.0,15462800.0,9072270.0,11751500.0,11531600.0,8614040.0,2438230.0,2338850.0,3538960.0,2576130.0,9121660.0,2862360.0,4180800.0,12605000.0,4987010.0
16,554.175242654529,568.6315569677411,11677500,19179100.0,41286200.0,43447900.0,7338020.0,7200910.0,9990900.0,12642300.0,13085500.0,23474100.0,3806480.0,4290160.0,1644040.0,1384930.0,10234000.0,1786500.0,3456150.0,3994730.0,3428510.0
17,139.07149974590598,762.704966882858,8883590,4169060.0,12438600.0,3816990.0,4128400.0,4507050.0,6017220.0,4894820.0,5406700.0,6269440.0,1588360.0,1640030.0,11642400.0,9905100.0,2579360.0,3191230.0,2687880.0,52589600.0,1928260.0
18,173.062237247018,34.884215918642894,10238800,27547600.0,22955800.0,13450500.0,12098200.0,9644760.0,4797630.0,13394400.0,12167600.0,6162020.0,4897850.0,4741200.0,4154330.0,1600220.0,7415330.0,4865400.0,7304800.0,10561800.0,12274100.0
19,217.09486978885,755.910192233857,27671000,27132000.0,23790100.0,26454600.0,27987300.0,54747100.0,41571200.0,45773300.0,44396100.0,54055800.0,8402500.0,7815530.0,3844980.0,3160520.0,11446000.0,12686400.0,17342500.0,28825400.0,23522200.0
20,186.044238173494,20.696659694841102,10601700,22751900.0,21052700.0,18385900.0,3660660.0,3908080.0,3832860.0,8060850.0,8236400.0,6721930.0,2138400.0,2052690.0,7360900.0,7387220.0,22808900.0,9068110.0,31055500.0,9031320.0,7781030.0
21,162.1047730874,20.6642982172791,185564992,416528992.0,366590016.0,468555008.0,214192000.0,244220992.0,216946000.0,429484000.0,338271008.0,423999008.0,0.0,9353700.0,2176980.0,13775400.0,38336200.0,33362300.0,28587000.0,98908096.0,86234800.0
22,149.958073663086,25.826507308029104,5275430,1878710.0,2931170.0,4060790.0,5696780.0,6157940.0,5418200.0,40573300.0,1971490.0,5715700.0,1095770.0,2720860.0,1339470.0,1857620.0,2903890.0,2866340.0,3146430.0,3389490.0,3183230.0
23,139.982320645374,9.38882115221904,3305640,7731150.0,8153780.0,7009700.0,1015460.0,963597.0,1646150.0,8231900.0,9958390.0,7297400.0,4198780.0,783965.0,677444.0,560663.0,541134.0,1041170.0,1218990.0,605533.0,609527.0
24,143.97644929610001,8.53582259437975,7289690,18557500.0,4053780.0,11709200.0,17277800.0,16405200.0,15328400.0,17657500.0,17443400.0,14794300.0,0.0,0.0,988973.0,0.0,528926.0,818857.0,733088.0,879341.0,821789.0
25,399.251544271297,468.513309214347,8468700,12337900.0,11957600.0,11371100.0,7323490.0,5644160.0,8706480.0,6430540.0,6703210.0,10796100.0,4517180.0,4063320.0,8262930.0,8161760.0,5642990.0,16373000.0,10445100.0,9623950.0,7675560.0
26,141.010390814327,728.454707082785,3296590,1781520.0,3830300.0,2681210.0,2427900.0,3502650.0,6538290.0,2998770.0,2915990.0,5209990.0,4117400.0,1364170.0,2788580.0,1695080.0,3874450.0,2075180.0,2746460.0,2922240.0,3465140.0
27,186.221375010861,304.592552577006,3247650,3276290.0,3513990.0,3225290.0,3266350.0,3212820.0,3412180.0,3494890.0,3477510.0,3324210.0,2562770.0,2657440.0,2879810.0,3154770.0,3298710.0,3415200.0,3849850.0,3132290.0,3333380.0
28,132.06111118185498,22.2380283564049,16465600,44405800.0,42178400.0,58498800.0,20028000.0,0.0,19622600.0,0.0,25747400.0,30642900.0,1656460.0,2409650.0,2059700.0,0.0,9255020.0,5899440.0,7064230.0,12676700.0,15088100.0
29,205.014221350667,753.6715013564751,11062600,5809870.0,7432850.0,7942000.0,7301360.0,15403700.0,7150300.0,6221760.0,7590470.0,0.0,56969700.0,19851000.0,5471980.0,6768030.0,29488100.0,4973010.0,5008950.0,4801280.0,3009780.0
30,156.049248143907,18.799329434264802,6371880,19644500.0,25064600.0,35819000.0,0.0,3389400.0,5792570.0,0.0,5209500.0,7901100.0,1765320.0,2943360.0,1940060.0,3409030.0,1836830.0,1980600.0,1986090.0,0.0,2383680.0
31,156.986622691719,774.558305682139,12271200,6013400.0,7670300.0,11508400.0,8647570.0,11952200.0,14145800.0,5179480.0,9175950.0,16232100.0,0.0,4070150.0,6317660.0,7422070.0,34835000.0,6833000.0,8505480.0,36726000.0,3852160.0
32,165.982707369167,10.379590742958198,1418690,1026360.0,1451040.0,1453770.0,1366410.0,1391250.0,1575300.0,1330950.0,1292790.0,1930120.0,1821530.0,1733100.0,1291690.0,1387630.0,1183810.0,1494760.0,1683220.0,1265830.0,1366910.0
33,496.33913508191597,436.233272320716,983529984,2904969984.0,4314720256.0,6882460160.0,155366000.0,142240000.0,221328000.0,1004449984.0,1061539968.0,1908269952.0,3251630.0,3618250.0,4138250.0,4783490.0,3771650.0,10232300.0,9264590.0,27272100.0,1129670.0
34,302.304334699518,394.561453922997,7720910,10063200.0,8124430.0,1432870.0,9221550.0,8772360.0,9602550.0,7080550.0,6987160.0,8587990.0,4561790.0,5021360.0,8704980.0,7696590.0,8723990.0,7939710.0,8261510.0,7513000.0,8835440.0
35,186.97656019656299,758.7879374229041,34065000,11733100.0,14325100.0,16482000.0,15678300.0,16449100.0,25399100.0,12150100.0,17382600.0,27899800.0,18351700.0,17821300.0,11836400.0,9893550.0,114353000.0,12275700.0,14162700.0,152782000.0,13190400.0
36,186.97270606924198,7.2062268185355105,3116960,510989.0,6725130.0,11170100.0,11164000.0,7506690.0,5685000.0,589410.0,9173870.0,0.0,435660.0,602695.0,806881.0,799378.0,577549.0,671780.0,771499.0,759089.0,663525.0
37,261.11931347925497,757.024892184856,15844700,14637000.0,15965600.0,16292600.0,17899200.0,23127700.0,23457100.0,21214900.0,24218100.0,26731600.0,4320140.0,3911670.0,2249780.0,2215470.0,21651300.0,7449790.0,10397600.0,18827300.0,14720600.0
38,143.992820998144,748.4685108257829,5874000,3911790.0,1735840.0,3206570.0,2554840.0,3760960.0,6514020.0,2744640.0,4459120.0,6949940.0,3694950.0,3805070.0,2540340.0,2129920.0,26543800.0,3001420.0,1990950.0,3280150.0,2601750.0
39,166.029987785886,750.2910678409419,6141590,3382470.0,3133460.0,4764390.0,4475620.0,11159200.0,7907240.0,1335610.0,4662710.0,25457400.0,4220710.0,6173580.0,2951310.0,2661270.0,11240800.0,3829690.0,4609350.0,8539080.0,4009940.0
40,110.06301956728001,767.057041771076,36753700,18751200.0,14265900.0,16990600.0,18137800.0,33694100.0,19016000.0,31175100.0,22326400.0,26706900.0,4367160.0,5717370.0,3179640.0,3702470.0,144982000.0,6559760.0,7083590.0,106295000.0,12614400.0
41,246.242336956114,322.595969391447,33183000,37358800.0,33297500.0,31330300.0,37256900.0,32808800.0,34851200.0,38036500.0,32378600.0,31441200.0,25496000.0,26164500.0,32468600.0,30491800.0,37344600.0,33774800.0,34963300.0,30888600.0,36381400.0
42,122.5469199859,787.172082663221,34163000,57139300.0,908818.0,833977.0,52916800.0,1877660.0,8767930.0,2139570.0,968829.0,2342180.0,103014000.0,100251000.0,106390000.0,102052000.0,397175.0,1309000.0,104933000.0,1165280.0,1068760.0
43,136.107907473244,730.813494009409,7600240,6248520.0,7851480.0,6664300.0,9934140.0,13097900.0,12900700.0,9725150.0,10659000.0,11406700.0,5953640.0,5484520.0,2825000.0,2508110.0,5527430.0,5702780.0,6929110.0,4653370.0,8413660.0
44,230.247542877303,359.549630721192,5988100,6064700.0,6145620.0,4886820.0,7127610.0,6291240.0,5972720.0,6491940.0,6987080.0,5246010.0,4414720.0,5095930.0,6095050.0,5588770.0,6267250.0,5467710.0,6593230.0,5731500.0,6764670.0
45,230.899622202087,8.607389504250781,599341,243268.0,262485.0,197145.0,204050.0,210266.0,188299.0,256927.0,211538.0,7781930.0,0.0,0.0,323324.0,0.0,249264.0,216827.0,236540.0,252899.0,249156.0
46,158.981946953868,766.136193163185,107988000,2161110.0,2989680.0,4177090.0,3299530.0,4213530.0,5156250.0,2104340.0,3895580.0,5833710.0,3762270.0,3754600.0,2352910.0,3274170.0,642665024.0,2598210.0,3891320.0,669641984.0,2600530.0
47,290.268064648074,352.674820933747,3517240,4653160.0,3278630.0,3885150.0,3375900.0,3715720.0,3513990.0,3650780.0,4218230.0,4085210.0,2293370.0,2260430.0,3534390.0,2810150.0,3278080.0,3632330.0,4074540.0,3764850.0,3405920.0
48,162.990250817145,15.821406565603,4218290,6089000.0,0.0,1456330.0,4908780.0,3464560.0,903074.0,6291340.0,2514110.0,0.0,9447810.0,990570.0,2818280.0,6077760.0,8037180.0,3424330.0,11358500.0,6233810.0,3398550.0
49,131.533305227597,745.175438595871,16273900,9190770.0,17772700.0,15729000.0,12848400.0,14003100.0,35303600.0,10590400.0,15749700.0,24629000.0,22552300.0,23684900.0,8970270.0,10176900.0,18942800.0,10653500.0,12398900.0,18632900.0,9408980.0
50,130.966220137412,814.884881423826,96664704,76446400.0,93605104.0,89456200.0,99208800.0,87757800.0,109215000.0,84789696.0,95555104.0,102692000.0,119813000.0,115595000.0,98829600.0,83657200.0,0.0,104795000.0,67212096.0,106499000.0,97673600.0
51,181.014156676763,745.4424255910069,9478220,6358560.0,7722080.0,9585870.0,7715100.0,8878220.0,15501700.0,6596740.0,9834850.0,17861300.0,10280800.0,11028600.0,6266200.0,5204890.0,0.0,7295790.0,9332590.0,13678700.0,6435390.0
52,167.012595434579,798.119785284483,252135008,263696992.0,265758000.0,268960000.0,233115008.0,256570000.0,280408000.0,206715008.0,256651008.0,298185984.0,255158000.0,262847008.0,214028992.0,253792000.0,0.0,226234000.0,215020992.0,254259008.0,228064992.0
53,158.002742177449,822.551100499668,67826096,77893104.0,84289800.0,75119200.0,80213200.0,73067400.0,30312000.0,73873504.0,79223904.0,38504200.0,34960500.0,74965504.0,76500704.0,68998600.0,0.0,77733600.0,84424600.0,84292600.0,80906400.0
54,166.100583348298,770.5153582061771,12020100,12121200.0,14232700.0,14923000.0,7747570.0,18911500.0,20680300.0,15499200.0,17250400.0,13695100.0,3436910.0,3939840.0,9538800.0,10727900.0,0.0,9184050.0,4525250.0,1481040.0,13371000.0
55,110.025582437544,796.372548809028,106245000,98650400.0,72198496.0,78396000.0,66601100.0,155938000.0,102055000.0,90914200.0,131296000.0,127012000.0,279830016.0,211154000.0,104688000.0,77156800.0,0.0,81323200.0,90613200.0,13336400.0,96085504.0
56,154.990037550464,799.985412570123,90262096,71110000.0,85739904.0,60530300.0,74499200.0,91868704.0,96333200.0,66874000.0,89099296.0,84708600.0,193102000.0,136388000.0,81304800.0,67131504.0,0.0,84850800.0,83103104.0,78544896.0,72111504.0
57,139.016461119409,783.547159808423,36487300,12295500.0,49387600.0,4407320.0,49732900.0,48863200.0,52968600.0,34769100.0,38804100.0,62165100.0,55124600.0,34324100.0,34225000.0,45500200.0,0.0,52260800.0,9958920.0,9007180.0,55028600.0
58,113.96352461622101,821.39607962763,108860000,150978000.0,121215000.0,109413000.0,137868000.0,55451300.0,118277000.0,152160992.0,133337000.0,54479000.0,86655904.0,64461000.0,135503008.0,104299000.0,0.0,118066000.0,113199000.0,112558000.0,127039000.0
59,156.96822926485,809.523988369026,34322600,36567500.0,38168300.0,28194100.0,38596100.0,34961200.0,36665200.0,40278000.0,37042400.0,38921100.0,46556700.0,45050500.0,38001100.0,34106500.0,0.0,35685800.0,37074700.0,11412300.0,39707300.0
60,145.035057283177,817.072038458496,18379800,15536200.0,20126200.0,15649600.0,19902400.0,16888500.0,21379200.0,13626200.0,19428600.0,20266600.0,19695400.0,22305400.0,17422500.0,12420900.0,0.0,16009800.0,20329700.0,21751300.0,19990300.0
61,276.025895137144,774.041287204082,1721010,1908610.0,1842700.0,1627450.0,2017950.0,1585970.0,1741040.0,1550310.0,1897650.0,2184140.0,1162760.0,991172.0,1413350.0,1540760.0,0.0,1663990.0,1439840.0,2128930.0,2119360.0
62,169.977122660601,795.117342728862,10332200,14241200.0,7816150.0,8455440.0,5531990.0,5600300.0,9368230.0,14759000.0,3810480.0,13445800.0,17547700.0,16428800.0,12362200.0,7796340.0,0.0,6605710.0,17727100.0,7378370.0,6876410.0
63,220.934392600783,16.1618745953104,1101950,1207160.0,0.0,1470970.0,1141940.0,1114640.0,1503150.0,0.0,0.0,1007310.0,0.0,1466550.0,0.0,1428550.0,1897950.0,2256810.0,1885590.0,1781180.0,1673310.0
64,159.969203597027,837.447792920812,19450100,27491000.0,23880200.0,15887000.0,23317300.0,25870100.0,22939300.0,23670700.0,26490500.0,25336400.0,0.0,0.0,21452900.0,22042000.0,0.0,0.0,19507700.0,16325100.0,22495200.0
65,115.06081837176399,775.4112756663491,7502810,3379720.0,2785180.0,3201300.0,4245480.0,5551040.0,5778540.0,4771620.0,3602460.0,5422220.0,1216600.0,1266990.0,20050800.0,0.0,20322600.0,1818080.0,2231800.0,20445300.0,3336750.0
66,137.993034460341,792.433324539906,37271100,38553100.0,44838300.0,7072940.0,40636900.0,41150100.0,43047400.0,25502100.0,37042100.0,11238900.0,112081000.0,121501000.0,11799600.0,23185000.0,0.0,30405500.0,51641200.0,18547900.0,10744600.0
67,173.017593899669,791.788080115667,9193160,8398050.0,9846980.0,8948400.0,11160800.0,8444550.0,13111500.0,7450020.0,11207900.0,13827600.0,12520400.0,13703500.0,8579080.0,8165720.0,0.0,10836000.0,1869150.0,2818090.0,9157450.0
68,199.987481874887,802.358735984243,183399008,165579008.0,181964000.0,155087008.0,180750000.0,161823008.0,194548000.0,140083008.0,178132000.0,206592992.0,222076000.0,224784000.0,168716992.0,161591008.0,0.0,194774000.0,186196992.0,206346000.0,179318000.0
69,288.288840047639,378.49059849847504,6617720,11938700.0,13895000.0,13274500.0,5832740.0,6186840.0,4944730.0,4709670.0,3905410.0,2736530.0,6462600.0,5313300.0,5990220.0,0.0,5604880.0,5727410.0,5557160.0,5016140.0,5658100.0
70,139.974037422202,11.1513178344315,2756510,898888.0,2616920.0,1258480.0,8002810.0,8412430.0,7398460.0,875424.0,2848700.0,1231370.0,0.0,6928720.0,2787580.0,1180250.0,871122.0,502945.0,704348.0,1117180.0,1060060.0
71,150.1038152666,761.342152933271,7493530,7335780.0,13914800.0,7218200.0,7943360.0,10902800.0,10938100.0,9477900.0,9452910.0,12362300.0,2572670.0,2788080.0,1674880.0,1455430.0,0.0,3626420.0,5061400.0,7963190.0,6335410.0
72,111.04082040631799,795.6750684651489,152660000,83356200.0,180207008.0,208323008.0,147948992.0,176731008.0,200860000.0,178226000.0,168398000.0,198082000.0,43048000.0,33519400.0,185307008.0,173160000.0,0.0,174388000.0,170871008.0,16609600.0,156996000.0
73,234.999825719673,789.042546426908,3390990,3153230.0,3141850.0,3203020.0,4235250.0,2933070.0,3701110.0,2669590.0,3504300.0,4186110.0,2943750.0,3298670.0,3136690.0,2909290.0,0.0,2982490.0,3404340.0,4003810.0,3518390.0
74,176.971672715598,815.828928449411,147522000,141640000.0,160752992.0,133677000.0,129433000.0,140888992.0,156132000.0,154880000.0,131060000.0,148782000.0,148480000.0,144636000.0,161524992.0,129380000.0,0.0,155731008.0,135564992.0,159595008.0,170094000.0
75,255.943475816526,787.827272836659,13883200,12669800.0,13820800.0,13063300.0,16856400.0,12378300.0,15154300.0,11040600.0,14013900.0,21775200.0,13716300.0,15281300.0,9914260.0,13461100.0,0.0,13582500.0,15720000.0,11503000.0,10543400.0
76,217.99828966748902,794.133035559782,19295700,17262000.0,17773600.0,18357900.0,22114400.0,21173100.0,16472500.0,21345900.0,19261900.0,17319200.0,15868900.0,15057600.0,22179300.0,18897900.0,0.0,22624200.0,20934300.0,19016000.0,21528400.0
77,165.115082752022,769.1413568413251,12065400,27197500.0,1643510.0,24603900.0,2339140.0,3553040.0,3706370.0,2648050.0,33475500.0,4206430.0,7205430.0,7750360.0,4070940.0,3060330.0,0.0,9676710.0,13004500.0,2078160.0,18096900.0
78,260.923674205569,800.410365196808,22215900,21834000.0,19916800.0,21618900.0,23600900.0,24180100.0,22156100.0,21976000.0,22309100.0,25748100.0,19392200.0,17977000.0,22805400.0,19564600.0,0.0,25597600.0,22760000.0,20680100.0,23168800.0
79,102.03596089035801,795.053092656257,599774016,629929024.0,2124930.0,738222016.0,548600000.0,608256000.0,625993024.0,402000000.0,671772992.0,769864000.0,838144000.0,801684992.0,470472000.0,571510976.0,0.0,551601984.0,663139008.0,684547008.0,581868992.0
80,223.98820551361197,799.6311151975079,19444200,18271400.0,17429000.0,17096800.0,14140100.0,22136100.0,19583900.0,20148100.0,21901000.0,29134200.0,17804100.0,19526600.0,14639600.0,16531100.0,0.0,19332700.0,17170400.0,20693200.0,22812800.0
81,303.882498476555,799.4271353146761,32019100,31574100.0,24196800.0,26548500.0,32636300.0,31737200.0,36464500.0,34795100.0,33202500.0,32940200.0,29915200.0,29756100.0,29713300.0,30684800.0,0.0,34177000.0,34441000.0,33827400.0,32520400.0
82,140.054593555283,15.8063964368081,37832100,178788992.0,181823008.0,188702000.0,19266600.0,18681300.0,21704600.0,456017.0,607572.0,548790.0,0.0,7765980.0,5622930.0,0.0,0.0,10361100.0,0.0,13537000.0,16421500.0
83,194.117912718769,820.068784990246,50760500,55581100.0,943236.0,60745200.0,55592000.0,63616400.0,49749500.0,56556600.0,52339000.0,41721800.0,47515700.0,42464600.0,48113500.0,56799400.0,0.0,64787400.0,56759300.0,48397700.0,55299900.0
84,125.986050437332,807.798315973859,201904000,182128000.0,182604992.0,206082000.0,195048000.0,210396992.0,221632000.0,192175008.0,182484000.0,244888000.0,214506000.0,233300000.0,177016992.0,187387008.0,0.0,197043008.0,200692000.0,204596992.0,187634000.0
85,288.918404723579,798.0699210823241,29887200,29990700.0,28629900.0,30567500.0,31289800.0,31847900.0,31900400.0,30842500.0,30320500.0,31666600.0,26373200.0,22906900.0,27294200.0,28948600.0,0.0,30646100.0,31684200.0,31521200.0,34864100.0
86,204.96656257069301,809.7100882152839,25729800,28741600.0,23972300.0,21421400.0,25275500.0,29334900.0,25999300.0,31833300.0,23577400.0,23703200.0,19452900.0,20906600.0,29593300.0,23742900.0,0.0,28885100.0,28518200.0,25612700.0,24370000.0
87,296.969692464572,784.268549117893,7239450,7881070.0,9499840.0,7062770.0,9191830.0,5844400.0,9654980.0,10018100.0,9077990.0,9979940.0,1945130.0,4385360.0,5186490.0,6161920.0,0.0,7260360.0,6865480.0,2919620.0,8325390.0
88,140.057105175425,766.593248682827,20867900,2221330.0,9204520.0,2524130.0,2332370.0,59216600.0,3940110.0,2455400.0,84641200.0,22266800.0,71324200.0,3645760.0,0.0,4260640.0,48120700.0,32978600.0,1707230.0,11385700.0,9304380.0
89,118.086052582047,818.670073757378,662604992,683523008.0,646212992.0,637457984.0,673001984.0,691052992.0,606115968.0,688169984.0,662878976.0,630627968.0,652216000.0,633956992.0,711177984.0,720785984.0,0.0,680467008.0,650961024.0,615673984.0,679444992.0
90,171.992699887701,807.8531055617799,120143000,102773000.0,123297000.0,114713000.0,111745000.0,108644000.0,132139000.0,106351000.0,119191000.0,122761000.0,143535008.0,137036000.0,111673000.0,97726400.0,0.0,115836000.0,128421000.0,133244000.0,124124000.0
91,128.019053245504,16.3074166310915,9564860,12501600.0,16226200.0,14453600.0,14317900.0,9190970.0,7657440.0,8113390.0,11821000.0,7624440.0,0.0,1115630.0,2786020.0,2486490.0,16259500.0,8401550.0,16363000.0,9195640.0,6754340.0
92,208.039094017443,783.0080760890629,12180000,11400900.0,14249800.0,15487100.0,13797000.0,13986600.0,12247400.0,11348600.0,13349400.0,15901000.0,8196660.0,7112580.0,7649670.0,11108000.0,0.0,13721400.0,13404000.0,12757500.0,13355900.0
93,162.997842593718,826.0046489552161,35511300,24082000.0,27741900.0,24286100.0,28790100.0,45852100.0,47536500.0,41253800.0,45137600.0,45542100.0,24056900.0,51968000.0,43592700.0,22203900.0,0.0,26833500.0,47988500.0,16445900.0,26189100.0
94,242.28385659847197,439.4832581698,63050700,60466100.0,54944700.0,46408900.0,79774600.0,63000800.0,50166300.0,67356600.0,66919000.0,0.0,45118300.0,59745300.0,71287200.0,62004200.0,63391800.0,67789696.0,78557104.0,61454600.0,70794200.0
95,524.370332743449,479.57001404380503,411864000,1233730048.0,1620120064.0,3137129984.0,43976800.0,46375400.0,71678600.0,324281984.0,329336000.0,565272000.0,1769550.0,1792170.0,1557010.0,2847380.0,0.0,2161510.0,2264400.0,12730800.0,7666620.0
96,255.158571442854,373.49050976773805,1477040,0.0,1672710.0,1812730.0,1160090.0,1358610.0,1767460.0,1592370.0,1289320.0,1815980.0,1208840.0,1305950.0,1336720.0,1436670.0,1449210.0,1232230.0,1386440.0,1756750.0,1193360.0
97,122.546931143599,714.7775135922619,2830470,1700610.0,490476.0,1073780.0,466441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514612.0,0.0,40230200.0,1112550.0,793395.0,457364.0,0.0
98,247.166077351222,733.200711310548,7609050,10007500.0,6903020.0,5402150.0,8887310.0,13403500.0,12843800.0,10528200.0,11466900.0,17061300.0,1073060.0,1329350.0,0.0,879392.0,0.0,2042820.0,0.0,8179020.0,6291280.0
99,157.989935422866,9.708338913821619,4371700,8181500.0,8771560.0,7834500.0,8488250.0,0.0,8295900.0,4121370.0,8136180.0,7722530.0,0.0,0.0,343178.0,0.0,6188280.0,301531.0,337363.0,343020.0,314971.0
100,333.071641905986,294.053262281785,36601100,69143600.0,72623400.0,38787800.0,45699900.0,45889400.0,32895700.0,2387670.0,47413600.0,2762600.0,0.0,1100250.0,1317450.0,0.0,40507200.0,45889400.0,55355500.0,34614600.0,46681700.0
101,110.008578860413,16.3011982490629,6161050,6779460.0,9742310.0,7479350.0,7638430.0,6226680.0,4497640.0,4835020.0,7161440.0,4405950.0,0.0,0.0,2013390.0,1674990.0,12039700.0,4770020.0,12849500.0,4917970.0,4337800.0
