G1	G2	G3	G4	G5	G6	GNPSLinkout_Cluster	GNPSLinkout_Network	LibraryID	MQScore	RTConsensus	RTMean	RTStdErr	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"11.0","main.cluster index_upperinput":"11.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=78&task=fdaa55d8a7254a1596017d472f455398&show=true	N/A	N/A	781.4703	781.4703	0	N/A	6176910368.0	19	11	78	19	167.0126	1	167.0126	6176910368.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"12.0","main.cluster index_upperinput":"12.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=78&task=fdaa55d8a7254a1596017d472f455398&show=true	N/A	N/A	782.6107	782.6107	0	N/A	4696878768.0	19	12	78	19	125.9861	1	125.9861	4696878768.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"13.0","main.cluster index_upperinput":"13.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=78&task=fdaa55d8a7254a1596017d472f455398&show=true	N/A	N/A	780.4762	780.4762	0	N/A	1346300920.0	19	13	78	19	139.0176	1	139.0176	1346300920.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"14.0","main.cluster index_upperinput":"14.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=fdaa55d8a7254a1596017d472f455398&show=true	N/A	N/A	329.2348	329.2348	0	N/A	770640056.0	19	14	5	19	246.2423	1	246.2423	770640056.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"15.0","main.cluster index_upperinput":"15.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=fdaa55d8a7254a1596017d472f455398&show=true	N/A	N/A	368.3799	368.3799	0	N/A	131778181.0	19	15	5	19	230.2475	1	230.2475	131778181.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"16.0","main.cluster index_upperinput":"16.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=83&task=fdaa55d8a7254a1596017d472f455398&show=true	(2-{[3-(hexadecanoyloxy)-2-hydroxypropyl phosphonato]oxy}ethyl)trimethylazanium	0.852587	451.9440	451.9440	0	CCMSLIB00005436359	14746687514.0	18	16	83	18	496.3391	1	496.3391	14746687514.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"17.0","main.cluster index_upperinput":"17.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=fdaa55d8a7254a1596017d472f455398&show=true	N/A	N/A	766.1673	766.1673	0	N/A	687935040.0	17	17	5	17	217.1044	1	217.1044	687935040.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"18.0","main.cluster index_upperinput":"18.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=40&task=fdaa55d8a7254a1596017d472f455398&show=true	Contaminant vial septum ThermoFisher C5000-44B	0.919637	634.0402	634.0402	0	CCMSLIB00005435822	152316930.0	17	18	40	17	702.2130	1	702.2130	152316930.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"19.0","main.cluster index_upperinput":"19.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=40&task=fdaa55d8a7254a1596017d472f455398&show=true	Contaminant vial septum ThermoFisher C5000-44B	0.936478	610.6245	610.6245	0	CCMSLIB00005435823	149137600.0	17	19	40	17	628.1941	1	628.1941	149137600.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"20.0","main.cluster index_upperinput":"20.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=18&task=fdaa55d8a7254a1596017d472f455398&show=true	N/A	N/A	16.5165	16.5165	0	N/A	190084051.0	17	20	18	17	151.0350	1	151.0350	190084051.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"21.0","main.cluster index_upperinput":"21.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=fdaa55d8a7254a1596017d472f455398&show=true	N/A	N/A	765.9212	765.9212	0	N/A	381465213.3125	17	21	5	17	261.1302	1	261.1302	381465213.3125
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"22.0","main.cluster index_upperinput":"22.0"}	This Node is a Singleton	N/A	N/A	439.9909	439.9909	0	N/A	1417073400.0	17	22	-1	17	242.2839	1	242.2839	1417073400.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"23.0","main.cluster index_upperinput":"23.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=fdaa55d8a7254a1596017d472f455398&show=true	N/A	N/A	438.6628	438.6628	0	N/A	57929895.78125	16	23	5	16	337.1039	1	337.1039	57929895.78125
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"24.0","main.cluster index_upperinput":"24.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=18&task=fdaa55d8a7254a1596017d472f455398&show=true	N/A	N/A	778.7681	778.7681	0	N/A	2265050424.0	16	24	18	16	154.9900	1	154.9900	2265050424.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"25.0","main.cluster index_upperinput":"25.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=fdaa55d8a7254a1596017d472f455398&show=true	sphingosin C16 (Artifact)-emf	0.970332	367.0752	367.0752	0	CCMSLIB00005463721	3290888208.0	16	25	5	16	274.2734	1	274.2734	3290888208.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"26.0","main.cluster index_upperinput":"26.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=40&task=fdaa55d8a7254a1596017d472f455398&show=true	N/A	N/A	674.9459	674.9459	0	N/A	60946768.0	16	26	40	16	850.2504	1	850.2504	60946768.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"27.0","main.cluster index_upperinput":"27.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=83&task=fdaa55d8a7254a1596017d472f455398&show=true	Spectral Match to PAF C-16 from NIST14	0.99104	489.5786	489.5786	0	CCMSLIB00003134705	9120274760.0	16	27	83	16	524.3704	1	524.3704	9120274760.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"28.0","main.cluster index_upperinput":"28.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=fdaa55d8a7254a1596017d472f455398&show=true	N/A	N/A	308.8667	308.8667	0	N/A	77407199.0	15	28	5	15	643.1357	1	643.1357	77407199.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"29.0","main.cluster index_upperinput":"29.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=98&task=fdaa55d8a7254a1596017d472f455398&show=true	0358_Sulfamethazine	0.947111	234.1072	234.1072	0	CCMSLIB00000579538	11177334941.0	15	29	98	15	279.0903	1	279.0903	11177334941.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"30.0","main.cluster index_upperinput":"30.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=18&task=fdaa55d8a7254a1596017d472f455398&show=true	N/A	N/A	14.6619	14.6619	0	N/A	130309119.0	15	30	18	15	128.0191	1	128.0191	130309119.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"31.0","main.cluster index_upperinput":"31.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=fdaa55d8a7254a1596017d472f455398&show=true	N/A	N/A	31.4686	31.4686	0	N/A	11755530626.0	15	31	5	15	132.1017	1	132.1017	11755530626.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"32.0","main.cluster index_upperinput":"32.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=fdaa55d8a7254a1596017d472f455398&show=true	N/A	N/A	308.9395	308.9395	0	N/A	696677032.0	15	32	5	15	333.0620	1	333.0620	696677032.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"33.0","main.cluster index_upperinput":"33.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=34&task=fdaa55d8a7254a1596017d472f455398&show=true	N/A	N/A	59.9602	59.9602	0	N/A	170594888.0	14	33	34	14	240.1803	1	240.1803	170594888.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"34.0","main.cluster index_upperinput":"34.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=72&task=fdaa55d8a7254a1596017d472f455398&show=true	N/A	N/A	15.8506	15.8506	0	N/A	38305933.0	14	34	72	14	272.9435	1	272.9435	38305933.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"35.0","main.cluster index_upperinput":"35.0"}	This Node is a Singleton	N/A	N/A	14.9624	14.9624	0	N/A	95017724.0	14	35	-1	14	110.0086	1	110.0086	95017724.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"36.0","main.cluster index_upperinput":"36.0"}	This Node is a Singleton	N/A	N/A	783.8885	783.8885	0	N/A	566804214.0	14	36	-1	14	288.9184	1	288.9184	566804214.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"37.0","main.cluster index_upperinput":"37.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=fdaa55d8a7254a1596017d472f455398&show=true	N/A	N/A	766.2410	766.2410	0	N/A	298787275.0	14	37	5	14	138.1023	1	138.1023	298787275.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"38.0","main.cluster index_upperinput":"38.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=83&task=fdaa55d8a7254a1596017d472f455398&show=true	N/A	N/A	440.7703	440.7703	0	N/A	10956645950.0	14	38	83	14	520.3390	1	520.3390	10956645950.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"39.0","main.cluster index_upperinput":"39.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=fdaa55d8a7254a1596017d472f455398&show=true	N/A	N/A	765.8165	765.8165	0	N/A	404245258.0	14	39	5	14	111.0915	1	111.0915	404245258.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"40.0","main.cluster index_upperinput":"40.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=40&task=fdaa55d8a7254a1596017d472f455398&show=true	Contaminants septum vial Thermo C4000-53 and C4000-54 serie	0.857272	710.4458	710.4458	0	CCMSLIB00005436263	52175654.0	14	40	40	14	610.1835	1	610.1835	52175654.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"41.0","main.cluster index_upperinput":"41.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=43&task=fdaa55d8a7254a1596017d472f455398&show=true	N/A	N/A	768.4254	768.4254	0	N/A	88200015.875	13	41	43	13	262.0666	2	131.5333	88200015.875
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"42.0","main.cluster index_upperinput":"42.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=18&task=fdaa55d8a7254a1596017d472f455398&show=true	N/A	N/A	775.8409	775.8409	0	N/A	2902776384.0	13	42	18	13	219.0398	2	110.0199	2902776384.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"43.0","main.cluster index_upperinput":"43.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=fdaa55d8a7254a1596017d472f455398&show=true	N/A	N/A	59.9231	59.9231	0	N/A	202148954.0	13	43	5	13	217.1046	1	217.1046	202148954.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"44.0","main.cluster index_upperinput":"44.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=fdaa55d8a7254a1596017d472f455398&show=true	N/A	N/A	45.9887	45.9887	0	N/A	6021691172.0	13	44	5	13	166.0861	1	166.0861	6021691172.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"45.0","main.cluster index_upperinput":"45.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=fdaa55d8a7254a1596017d472f455398&show=true	N/A	N/A	768.0288	768.0288	0	N/A	777641870.0	13	45	5	13	165.1133	1	165.1133	777641870.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"46.0","main.cluster index_upperinput":"46.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=18&task=fdaa55d8a7254a1596017d472f455398&show=true	N/A	N/A	789.6092	789.6092	0	N/A	1702330616.0	12	46	18	12	171.9927	1	171.9927	1702330616.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"47.0","main.cluster index_upperinput":"47.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=fdaa55d8a7254a1596017d472f455398&show=true	N/A	N/A	780.4482	780.4482	0	N/A	664240324.0	12	47	5	12	194.1172	1	194.1172	664240324.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"48.0","main.cluster index_upperinput":"48.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=7&task=fdaa55d8a7254a1596017d472f455398&show=true	Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphocholine from NIST14	0.992899	463.1923	463.1923	0	CCMSLIB00003136940	7331100094.0	12	48	7	12	522.3547	1	522.3547	7331100094.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"49.0","main.cluster index_upperinput":"49.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=72&task=fdaa55d8a7254a1596017d472f455398&show=true	N/A	N/A	16.3264	16.3264	0	N/A	1738762904.0	12	49	72	12	226.9512	1	226.9512	1738762904.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"50.0","main.cluster index_upperinput":"50.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=82&task=fdaa55d8a7254a1596017d472f455398&show=true	Massbank:BML01185 L-Tryptophan	0.99629	99.4021	99.4021	0	CCMSLIB00000205165	5579737522.0	12	50	82	12	205.0970	1	205.0970	5579737522.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"51.0","main.cluster index_upperinput":"51.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=fdaa55d8a7254a1596017d472f455398&show=true	N/A	N/A	422.5170	422.5170	0	N/A	321749612.0	12	51	5	12	337.2342	1	337.2342	321749612.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"52.0","main.cluster index_upperinput":"52.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=6&task=fdaa55d8a7254a1596017d472f455398&show=true	N/A	N/A	766.1484	766.1484	0	N/A	119610701.0	12	52	6	12	780.5500	1	780.5500	119610701.0
