#Scan#	Adduct	CAS_Number	Charge	Compound_Name	Compound_Source	Data_Collector	ExactMass	FileScanUniqueID	INCHI	INCHI_AUX	Instrument	IonMode	Ion_Source	LibMZ	LibraryName	LibraryQualityString	Library_Class	MQScore	MZErrorPPM	MassDiff	NumberHits	Organism	PI	Precursor_MZ	Pubmed_ID	RT_Query	SharedPeaks	Smiles	SpecCharge	SpecMZ	SpectrumFile	SpectrumID	TIC_Query	UpdateWorkflowName	tags
112	M+H	471874	1	Stachydrine	Isolated	NIST	0.0	spectra/specs_ms.mgf112	InChI=1S/C7H13NO2/c1-8(2)5-3-4-6(8)7(9)10/h6H,3-5H2,1-2H3	N/A	HCD	Positive	ESI	144.102	lib-00000.mgf	Bronze	3	0.797187	0.635333	9.15527e-05	1	NIST17	NIST	144.102	N/A	0	4	C[N+]1(CCCC1C(=O)[O-])C	1	144.102	spectra/specs_ms.mgf	CCMSLIB00003384831	8.84011e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1132	M+H	544310	1	Palmitoyl ethanolamide	Isolated	NIST	0.0	spectra/specs_ms.mgf1132	InChI=1S/C18H37NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-18(21)19-16-17-20/h20H,2-17H2,1H3,(H,19,21)	N/A	HCD	Positive	ESI	300.29	lib-00000.mgf	Bronze	3	0.959229	3.3537	0.00100708	1	NIST17	NIST	300.29	N/A	0	8	CCCCCCCCCCCCCCCC(=O)NCCO	1	300.289	spectra/specs_ms.mgf	CCMSLIB00003483758	867989	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1136	M+H	25695958	1	2S-Amino-4E-octadecene-1,3S-diol	Isolated	NIST	0.0	spectra/specs_ms.mgf1136	InChI=1S/C18H37NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-18(21)17(19)16-20/h14-15,17-18,20-21H,2-13,16,19H2,1H3/b15-14+/t17-,18-/m0/s1	N/A	HCD	Positive	ESI	300.29	lib-00000.mgf	Bronze	3	0.894395	3.04881	299.281	1	NIST17	NIST	300.29	N/A	0	8	CCCCCCCCCCCCCC=CC(C(CO)N)O	2	300.289	spectra/specs_ms.mgf	CCMSLIB00003539381	278116	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1143	M+Na	474923212	1	N-Lauroyl-D-erythro-sphingosylphosphorylcholine	Isolated	NIST	0.0	spectra/specs_ms.mgf1143	InChI=1S/C35H71N2O6P/c1-6-8-10-12-14-16-17-18-19-21-22-24-26-28-34(38)33(32-43-44(40,41)42-31-30-37(3,4)5)36-35(39)29-27-25-23-20-15-13-11-9-7-2/h26,28,33-34,38H,6-25,27,29-32H2,1-5H3,(H-,36,39,40,41)/b28-26+/t33-,34+/m0/s1	N/A	HCD	Positive	ESI	669.494	lib-00000.mgf	Bronze	3	0.909825	1.00283	0.000671387	1	NIST17	NIST	669.494	N/A	0	6	CCCCCCCCCCCCCC=CC(C(COP(=O)([O-])OCC[N+](C)(C)C)NC(=O)CCCCCCCCCCC)O	1	669.494	spectra/specs_ms.mgf	CCMSLIB00003269675	558612	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1158	M+H	41017963	1	Ile-Val	Isolated	NIST	0.0	spectra/specs_ms.mgf1158	InChI=1S/C11H22N2O3/c1-5-7(4)8(12)10(14)13-9(6(2)3)11(15)16/h6-9H,5,12H2,1-4H3,(H,13,14)(H,15,16)/t7-,8-,9-/m0/s1	N/A	HCD	Positive	ESI	231.17	lib-00000.mgf	Bronze	3	0.828675	0.858087	0.000198364	1	NIST17	NIST	231.17	N/A	0	4	CCC(C)C(C(=O)NC(C(C)C)C(=O)[O-])[NH3+]	1	231.17	spectra/specs_ms.mgf	CCMSLIB00003728138	1.13995e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1159	M+Na	50930239	1	1-Heptadecanoyl-sn-glycero-3-phosphocholine	Isolated	NIST	0.0	spectra/specs_ms.mgf1159	InChI=1S/C25H52NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-25(28)31-22-24(27)23-33-34(29,30)32-21-20-26(2,3)4/h24,27H,5-23H2,1-4H3/t24-/m1/s1	N/A	HCD	Positive	ESI	532.337	lib-00000.mgf	Bronze	3	0.953935	2.2931	0.0012207	1	NIST17	NIST	532.337	N/A	0	6	CCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O	1	532.336	spectra/specs_ms.mgf	CCMSLIB00003269007	1.51285e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1161	M+H	25597095	1	Stearoyl-L-carnitine	Isolated	NIST	0.0	spectra/specs_ms.mgf1161	InChI=1S/C25H49NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h23H,5-22H2,1-4H3/t23-/m1/s1	N/A	HCD	Positive	ESI	428.373	lib-00000.mgf	Bronze	3	0.978439	1.21109	0.000518799	1	NIST17	NIST	428.373	N/A	0	10	CCCCCCCCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	1	428.373	spectra/specs_ms.mgf	CCMSLIB00003578834	2.76692e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1163	M+H-NH3	73223	1	L-Tryptophan	Isolated	NIST	0.0	spectra/specs_ms.mgf1163	InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)	N/A	HCD	Positive	ESI	188.071	lib-00000.mgf	Bronze	3	0.900738	1.62267	0.000305176	1	NIST17	NIST	188.071	N/A	0	4	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N	1	188.07	spectra/specs_ms.mgf	CCMSLIB00003305072	324900	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1171	M+H	3422397	1	.alpha.-L-Glu-L-Tyr	Isolated	NIST	0.0	spectra/specs_ms.mgf1171	InChI=1S/C14H18N2O6/c15-10(5-6-12(18)19)13(20)16-11(14(21)22)7-8-1-3-9(17)4-2-8/h1-4,10-11,17H,5-7,15H2,(H,16,20)(H,18,19)(H,21,22)/t10-,11-/m0/s1	N/A	HCD	Positive	ESI	311.124	lib-00000.mgf	Bronze	3	0.846784	3.53118	310.114	1	NIST17	NIST	311.124	N/A	0	7	C1=CC(=CC=C1CC(C(=O)O)NC(=O)C(CCC(=O)O)N)O	2	311.123	spectra/specs_ms.mgf	CCMSLIB00003728686	1.06426e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1180	M+H	0	1	Gly-Phe	Isolated	NIST	0.0	spectra/specs_ms.mgf1180	InChI=1S/C11H14N2O3/c12-7-10(14)13-9(11(15)16)6-8-4-2-1-3-5-8/h1-5,9H,6-7,12H2,(H,13,14)(H,15,16)/t9-/m0/s1	N/A	HCD	Positive	ESI	223.108	lib-00000.mgf	Bronze	3	0.834697	0.410352	9.15527e-05	1	NIST17	NIST	223.108	N/A	0	3	C1=CC=C(C=C1)CC(C(=O)[O-])NC(=O)C[NH3+]	1	223.108	spectra/specs_ms.mgf	CCMSLIB00003736446	803046	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1187	M+H-2H2O	360656	1	Glycodeoxycholic acid	Isolated	NIST	0.0	spectra/specs_ms.mgf1187	InChI=1S/C26H43NO5/c1-15(4-9-23(30)27-14-24(31)32)19-7-8-20-18-6-5-16-12-17(28)10-11-25(16,2)21(18)13-22(29)26(19,20)3/h15-22,28-29H,4-14H2,1-3H3,(H,27,30)(H,31,32)	N/A	HCD	Positive	ESI	414.3	lib-00000.mgf	Bronze	3	0.795374	1.17857	826.585	1	NIST17	NIST	414.3	N/A	0	12	CC(CCC(=O)NCC(=O)O)C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C	3	414.3	spectra/specs_ms.mgf	CCMSLIB00003455812	282375	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1224	M+Na	4235954	1	1,2-dioleoyl-sn-glycero-3-phosphatidylcholine	Isolated	NIST	0.0	spectra/specs_ms.mgf1224	InChI=1S/C44H84NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h20-23,42H,6-19,24-41H2,1-5H3/b22-20-,23-21-/t42-/m1/s1	N/A	Q-TOF	Positive	ESI	808.583	lib-00000.mgf	Bronze	3	0.894078	2.11356	0.00170898	1	NIST17	NIST	808.583	N/A	0	3	CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC	1	808.581	spectra/specs_ms.mgf	CCMSLIB00003173853	4.78752e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1228	M+H	86288111	1	1-Hexadecyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine	Isolated	NIST	0.0	spectra/specs_ms.mgf1228	InChI=1S/C44H82NO7P/c1-6-8-10-12-14-16-18-20-22-23-24-25-27-29-31-33-35-37-44(46)52-43(42-51-53(47,48)50-40-38-45(3,4)5)41-49-39-36-34-32-30-28-26-21-19-17-15-13-11-9-7-2/h14,16,20,22,24-25,29,31,43H,6-13,15,17-19,21,23,26-28,30,32-42H2,1-5H3/b16-14-,22-20-,25-24-,31-29-	N/A	HCD	Positive	ESI	768.59	lib-00000.mgf	Bronze	3	0.975232	1.42941	0.00109863	1	NIST17	NIST	768.59	N/A	0	8	CCCCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCC=CCC=CCC=CCC=CCCCCC	1	768.589	spectra/specs_ms.mgf	CCMSLIB00003503310	1.33344e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1237	M+K	19420565	1	1-Oleoyl-sn-glycero-3-phosphocholine	Isolated	NIST	0.0	spectra/specs_ms.mgf1237	InChI=1S/C26H52NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)32-23-25(28)24-34-35(30,31)33-22-21-27(2,3)4/h12-13,25,28H,5-11,14-24H2,1-4H3/b13-12-/t25-/m1/s1	N/A	HCD	Positive	ESI	560.311	lib-00000.mgf	Bronze	3	0.92548	12.0913	0.0067749	1	NIST17	NIST	560.311	N/A	0	5	CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O	1	560.305	spectra/specs_ms.mgf	CCMSLIB00003267885	273975	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1242	M+H	2577404	1	Phe-Phe	Isolated	NIST	0.0	spectra/specs_ms.mgf1242	InChI=1S/C18H20N2O3/c19-15(11-13-7-3-1-4-8-13)17(21)20-16(18(22)23)12-14-9-5-2-6-10-14/h1-10,15-16H,11-12,19H2,(H,20,21)(H,22,23)/t15-,16-/m0/s1	N/A	HCD	Positive	ESI	313.155	lib-00000.mgf	Bronze	3	0.965617	3.50828	312.145	1	NIST17	NIST	313.155	N/A	0	5	C1=CC=C(C=C1)CC(C(=O)NC(CC2=CC=CC=C2)C(=O)O)N	2	313.154	spectra/specs_ms.mgf	CCMSLIB00003736394	1.72414e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1247	M+H	20244864	1	7-Methylguanosine	Isolated	NIST	0.0	spectra/specs_ms.mgf1247	InChI=1S/C11H15N5O5/c1-15-3-16(8-5(15)9(20)14-11(12)13-8)10-7(19)6(18)4(2-17)21-10/h3-4,6-7,10,17-19H,2H2,1H3,(H2-,12,13,14,20)/t4-,6?,7?,10-/m0/s1	N/A	HCD	Positive	ESI	298.115	lib-00000.mgf	Bronze	3	0.960282	2.96869	0.00088501	1	NIST17	NIST	298.115	N/A	0	3	CN1C=[N+](C2=C1C(=NC(=N2)N)[O-])C3C(C(C(O3)CO)O)O	1	298.114	spectra/specs_ms.mgf	CCMSLIB00003452809	380881	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1259	M+H	108341806	1	1-Arachidoyl-2-hydroxy-sn-glycero-3-phosphocholine	Isolated	NIST	0.0	spectra/specs_ms.mgf1259	InChI=1S/C28H58NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-28(31)34-25-27(30)26-36-37(32,33)35-24-23-29(2,3)4/h27,30H,5-26H2,1-4H3/t27-/m1/s1	N/A	HCD	Positive	ESI	552.402	lib-00000.mgf	Bronze	3	0.967919	2.20981	0.0012207	1	NIST17	NIST	552.402	N/A	0	9	CCCCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O	1	552.401	spectra/specs_ms.mgf	CCMSLIB00003269115	1.18797e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1264	M+H-C7H11NO	479413688	1	Dodecanoic acid, 12-[[(cyclohexylamino)carbonyl]amino]-	Isolated	NIST	0.0	spectra/specs_ms.mgf1264	InChI=1S/C19H36N2O3/c22-18(23)15-11-6-4-2-1-3-5-7-12-16-20-19(24)21-17-13-9-8-10-14-17/h17H,1-16H2,(H,22,23)(H2,20,21,24)	N/A	HCD	Positive	ESI	216.196	lib-00000.mgf	Bronze	3	0.786394	0	0	1	NIST17	NIST	216.196	N/A	0	9	C1CCC(CC1)NC(=O)NCCCCCCCCCCCC(=O)O	1	216.196	spectra/specs_ms.mgf	CCMSLIB00003594812	465058	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1279	M+H	19794979	1	D-erythro-Sphinganine-1-phosphate	Isolated	NIST	0.0	spectra/specs_ms.mgf1279	InChI=1S/C18H40NO5P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-18(20)17(19)16-24-25(21,22)23/h17-18,20H,2-16,19H2,1H3,(H2,21,22,23)/t17-,18+/m0/s1	N/A	HCD	Positive	ESI	382.272	lib-00000.mgf	Bronze	3	0.757976	2.87396	0.00109863	1	NIST17	NIST	382.272	N/A	0	7	CCCCCCCCCCCCCCCC(C(COP(=O)(O)[O-])[NH3+])O	1	382.271	spectra/specs_ms.mgf	CCMSLIB00003269556	341940	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1288	M+H	89576294	1	1-Oleoyl-sn-glycero-3-phosphoethanolamine	Isolated	NIST	0.0	spectra/specs_ms.mgf1288	InChI=1S/C23H46NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-23(26)29-20-22(25)21-31-32(27,28)30-19-18-24/h9-10,22,25H,2-8,11-21,24H2,1H3,(H,27,28)/b10-9-/t22-/m1/s1	N/A	HCD	Positive	ESI	480.309	lib-00000.mgf	Bronze	3	0.84088	11.2461	0.00540161	1	NIST17	NIST	480.309	N/A	0	12	CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[NH3+])O	1	480.303	spectra/specs_ms.mgf	CCMSLIB00003267909	397580	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1291	M+H	2420566	1	10E,12Z-octadecadienoic acid	Isolated	NIST	0.0	spectra/specs_ms.mgf1291	InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-9H,2-5,10-17H2,1H3,(H,19,20)/b7-6-,9-8+	N/A	HCD	Positive	ESI	281.247	lib-00000.mgf	Bronze	3	0.76997	3.58076	560.477	1	NIST17	NIST	281.247	N/A	0	9	CCCCCC=CC=CCCCCCCCCC(=O)O	3	281.246	spectra/specs_ms.mgf	CCMSLIB00003328884	226578	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1315	M+H-C3H4O3	537553	1	N-Acetyl-L-tyrosine	Isolated	NIST	0.0	spectra/specs_ms.mgf1315	InChI=1S/C11H13NO4/c1-7(13)12-10(11(15)16)6-8-2-4-9(14)5-3-8/h2-5,10,14H,6H2,1H3,(H,12,13)(H,15,16)/t10-/m0/s1	N/A	HCD	Positive	ESI	136.076	lib-00000.mgf	Bronze	3	0.995592	1.45775	0.000198364	1	NIST17	NIST	136.076	N/A	0	6	CC(=O)NC(CC1=CC=C(C=C1)O)C(=O)O	1	136.076	spectra/specs_ms.mgf	CCMSLIB00003445292	3.78576e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1322	M+H	90242345	1	1-Octadecanoyl-2-octadecenoyl-sn-glycero-3-phosphocholine	Isolated	NIST	0.0	spectra/specs_ms.mgf1322	InChI=1S/C44H86NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h21,23,42H,6-20,22,24-41H2,1-5H3/b23-21+/t42-/m1/s1	N/A	Q-TOF	Positive	ESI	788.616	lib-00000.mgf	Bronze	3	0.946587	2.94102	0.00231934	1	NIST17	NIST	788.616	N/A	0	4	CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC	1	788.614	spectra/specs_ms.mgf	CCMSLIB00003173921	1.27681e+07	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1330	2M+H	17364168	1	1-Palmitoyl-sn-glycero-3-phosphocholine	Isolated	NIST	0.0	spectra/specs_ms.mgf1330	InChI=1S/C24H50NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-24(27)30-21-23(26)22-32-33(28,29)31-20-19-25(2,3)4/h23,26H,5-22H2,1-4H3/t23-/m1/s1	N/A	HCD	Positive	ESI	991.672	lib-00000.mgf	Bronze	3	0.808615	1.84643	0.00183105	1	NIST17	NIST	991.672	N/A	0	9	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O	1	991.67	spectra/specs_ms.mgf	CCMSLIB00003498366	801527	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1342	M+H-2H2O	360656	1	Glycodeoxycholic acid	Isolated	NIST	0.0	spectra/specs_ms.mgf1342	InChI=1S/C26H43NO5/c1-15(4-9-23(30)27-14-24(31)32)19-7-8-20-18-6-5-16-12-17(28)10-11-25(16,2)21(18)13-22(29)26(19,20)3/h15-22,28-29H,4-14H2,1-3H3,(H,27,30)(H,31,32)	N/A	HCD	Positive	ESI	414.3	lib-00000.mgf	Bronze	3	0.757499	0.736605	0.000305176	1	NIST17	NIST	414.3	N/A	0	10	CC(CCC(=O)NCC(=O)O)C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C	1	414.3	spectra/specs_ms.mgf	CCMSLIB00003455812	143002	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1343	M+H-C18H38O	103048197	1	Di(2,6-dimethyl-4-heptyl) phthalate	Isolated	NIST	0.0	spectra/specs_ms.mgf1343	InChI=1S/C26H42O4/c1-17(2)13-21(14-18(3)4)29-25(27)23-11-9-10-12-24(23)26(28)30-22(15-19(5)6)16-20(7)8/h9-12,17-22H,13-16H2,1-8H3	N/A	HCD	Positive	ESI	149.023	lib-00000.mgf	Bronze	3	0.840219	1.3311	0.000198364	1	NIST17	NIST	149.023	N/A	0	5	CC(C)CC(CC(C)C)OC(=O)C1=CC=CC=C1C(=O)OC(CC(C)C)CC(C)C	1	149.023	spectra/specs_ms.mgf	CCMSLIB00003719106	52682	UPDATE-SINGLE-ANNOTATED-BRONZE	 
