#Scan#	Adduct	CAS_Number	Charge	Compound_Name	Precursor_MZ	Validation	Compound_Source	Data_Collector	ExactMass	FileScanUniqueID	INCHI	INCHI_AUX	Instrument	IonMode	Ion_Source	LibMZ	LibraryName	LibraryQualityString	Library_Class	MQScore	MZErrorPPM	MassDiff	NumberHits	Organism	PI	Precursor_MZ	Pubmed_ID	RT_Query	SharedPeaks	Smiles	SpecCharge	SpecMZ	SpectrumFile	SpectrumID	TIC_Query	UpdateWorkflowName	tags
45	M+H	471874	1	Stachydrine	144.102		Isolated	NIST	0	spectra/specs_ms.mgf45	InChI=1S/C7H13NO2/c1-8(2)5-3-4-6(8)7(9)10/h6H,3-5H2,1-2H3	N/A	HCD	Positive	ESI	144.102	lib-00000.mgf	Bronze	3	0.849056	0.635333	9.16E-05	1	NIST17	NIST	144.102	N/A	0	4	C[N+]1(CCCC1C(=O)[O-])C	1	144.102	spectra/specs_ms.mgf	CCMSLIB00003384831	1.48E+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
62	M+H	56859	1	L-Glutamine	147.076	YES	Isolated	NIST	0	spectra/specs_ms.mgf62	InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)/t3-/m1/s1	N/A	Q-TOF	Positive	ESI	147.076	lib-00000.mgf	Bronze	3	0.858924	1.34872	0.000198364	1	NIST17	NIST	147.076	N/A	0	3	C(CC(=O)N)C(C(=O)O)N	1	147.076	spectra/specs_ms.mgf	CCMSLIB00003200472	9.40E+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
349	M+H	56871	1	L-Lysine	147.113	YES	Isolated	NIST	0	spectra/specs_ms.mgf349	InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/t5-/m0/s1	N/A	Q-TOF	Positive	ESI	147.113	lib-00000.mgf	Bronze	3	0.941543	1.34838	0.000198364	1	NIST17	NIST	147.113	N/A	0	4	[H+].C(CCN)CC(C(=O)[O-])N	1	147.113	spectra/specs_ms.mgf	CCMSLIB00003200518	1.18E+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
656	M+H-C12H26O	85698	1	Butyl 2-ethylhexyl phthalate	149.023		Isolated	NIST	0	spectra/specs_ms.mgf656	InChI=1S/C20H30O4/c1-4-7-11-16(6-3)15-24-20(22)18-13-10-9-12-17(18)19(21)23-14-8-5-2/h9-10,12-13,16H,4-8,11,14-15H2,1-3H3	N/A	HCD	Positive	ESI	149.023	lib-00000.mgf	Bronze	3	0.917666	0.716744	0.000106812	1	NIST17	NIST	149.023	N/A	0	6	CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCCCC	1	149.023	spectra/specs_ms.mgf	CCMSLIB00003652825	191600	UPDATE-SINGLE-ANNOTATED-BRONZE	 
152	M+H-C4H10O	30833535	1	Monoisobutyl phthalate	149.023		Isolated	NIST	0	spectra/specs_ms.mgf152	InChI=1S/C12H14O4/c1-8(2)7-16-12(15)10-6-4-3-5-9(10)11(13)14/h3-6,8H,7H2,1-2H3,(H,13,14)	N/A	HCD	Positive	ESI	149.023	lib-00000.mgf	Bronze	3	0.85961	0.716744	0.000106812	1	NIST17	NIST	149.023	N/A	0	4	CC(C)COC(=O)C1=CC=CC=C1C(=O)O	1	149.023	spectra/specs_ms.mgf	CCMSLIB00003371712	166700	UPDATE-SINGLE-ANNOTATED-BRONZE	 
443	M+H-H2O	552636	1	Tropic acid	149.06		Isolated	NIST	0	spectra/specs_ms.mgf443	InChI=1S/C9H10O3/c10-6-8(9(11)12)7-4-2-1-3-5-7/h1-5,8,10H,6H2,(H,11,12)	N/A	Q-TOF	Positive	ESI	149.06	lib-00000.mgf	Bronze	3	0.913841	1.33077	0.000198364	1	NIST17	NIST	149.06	N/A	0	4	C1=CC=C(C=C1)C(CO)C(=O)O	1	149.059	spectra/specs_ms.mgf	CCMSLIB00003184337	1.45E+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
89	M+H	63683	1	L-Methionine	150.058	YES	Isolated	NIST	0	spectra/specs_ms.mgf89	InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1	N/A	Q-TOF	Positive	ESI	150.058	lib-00000.mgf	Bronze	3	0.997181	0.7118	0.000106812	1	NIST17	NIST	150.058	N/A	0	7	CSCCC(C(=O)O)N	1	150.058	spectra/specs_ms.mgf	CCMSLIB00003200797	1.60E+07	UPDATE-SINGLE-ANNOTATED-BRONZE	 
210	M+H	701440	1	Nudifloramide	153.066		Isolated	NIST	0	spectra/specs_ms.mgf210	InChI=1S/C7H8N2O2/c1-9-4-5(7(8)11)2-3-6(9)10/h2-4H,1H3,(H2,8,11)	N/A	HCD	Positive	ESI	153.066	lib-00000.mgf	Bronze	3	0.821647	1.29594	0.000198364	1	NIST17	NIST	153.066	N/A	0	7	CN1C=C(C=CC1=O)C(=O)N	1	153.066	spectra/specs_ms.mgf	CCMSLIB00003374483	699000	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1	M+H	6674222	1	1,8-Diazabicyclo[5.4.0]undec-7-ene	153.139		Isolated	NIST	0	spectra/specs_ms.mgf1	InChI=1S/C9H16N2/c1-2-5-9-10-6-4-8-11(9)7-3-1/h1-8H2	N/A	HCD	Positive	ESI	153.139	lib-00000.mgf	Bronze	3	0.867327	1.29533	0.000198364	1	NIST17	NIST	153.139	N/A	0	5	C1CCC2=NCCCN2CC1	1	153.138	spectra/specs_ms.mgf	CCMSLIB00003265542	76800	UPDATE-SINGLE-ANNOTATED-BRONZE	 
124	M+H-C5H7O2N	56353152	1	N-Acetyl-L-carnosine	156.077		Isolated	NIST	0	spectra/specs_ms.mgf124	InChI=1S/C11H16N4O4/c1-7(16)13-3-2-10(17)15-9(11(18)19)4-8-5-12-6-14-8/h5-6,9H,2-4H2,1H3,(H,12,14)(H,13,16)(H,15,17)(H,18,19)/t9-/m0/s1	N/A	HCD	Positive	ESI	156.077	lib-00000.mgf	Bronze	3	0.973235	0.586588	9.16E-05	1	NIST17	NIST	156.077	N/A	0	5	CC(=O)NCCC(=O)NC(CC1=CN=CN1)C(=O)O	1	156.077	spectra/specs_ms.mgf	CCMSLIB00003370699	1.11E+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
8	M+H	541151	1	L-Carnitine	162.113	YES	Isolated	NIST	0	spectra/specs_ms.mgf8	InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3	N/A	HCD	Positive	ESI	162.113	lib-00000.mgf	Bronze	3	0.986123	1.22362	0.000198364	1	NIST17	NIST	162.113	N/A	0	6	C[N+](C)(C)CC(CC(=O)[O-])O	1	162.112	spectra/specs_ms.mgf	CCMSLIB00003446005	1.99E+07	UPDATE-SINGLE-ANNOTATED-BRONZE	 
132	M+H-NH3	60184	1	L-Tyrosine	165.055	YES	Isolated	NIST	0	spectra/specs_ms.mgf132	InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)	N/A	HCD	Positive	ESI	165.055	lib-00000.mgf	Bronze	3	0.978371	0.554682	9.16E-05	1	NIST17	NIST	165.055	N/A	0	5	C1=CC(=CC=C1CC(C(=O)[O-])[NH3+])O	1	165.055	spectra/specs_ms.mgf	CCMSLIB00003304524	4.98E+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
31	M+H	150301	1	DL-Phenylalanine	166.086	YES	Isolated	NIST	0	spectra/specs_ms.mgf31	InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)	N/A	Q-TOF	Positive	ESI	166.086	lib-00000.mgf	Bronze	3	0.970941	1.19434	0.000198364	1	NIST17	NIST	166.086	N/A	0	5	C1=CC=C(C=C1)CC(C(=O)[O-])[NH3+]	1	166.086	spectra/specs_ms.mgf	CCMSLIB00003182914	6.63E+07	UPDATE-SINGLE-ANNOTATED-BRONZE	 
52	M+H	69932	1	Uric acid	169.036		Isolated	NIST	0	spectra/specs_ms.mgf52	InChI=1S/C5H4N4O3/c10-3-1-2(7-4(11)6-1)8-5(12)9-3/h(H4,6,7,8,9,10,11,12)	N/A	HCD	Positive	ESI	169.036	lib-00000.mgf	Bronze	3	0.966082	0.541618	9.16E-05	1	NIST17	NIST	169.036	N/A	0	7	C12=C(NC(=O)N1)NC(=O)NC2=O	1	169.036	spectra/specs_ms.mgf	CCMSLIB00003461631	3.29E+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
117	M+H	528212	1	Gallacetophenone	169.049		Isolated	NIST	0	spectra/specs_ms.mgf117	InChI=1S/C8H8O4/c1-4(9)5-2-3-6(10)8(12)7(5)11/h2-3,10-12H,1H3	N/A	HCD	Positive	ESI	169.049	lib-00000.mgf	Bronze	3	0.685772	51.4495	0.00869751	1	NIST17	NIST	169.049	N/A	0	3	CC(=O)C1=C(C(=C(C=C1)O)O)O	1	169.058	spectra/specs_ms.mgf	CCMSLIB00003344224	628000	UPDATE-SINGLE-ANNOTATED-BRONZE	 
700	M+H-H2O	1204064	1	3-Indoleacrylic acid	170.06		Isolated	NIST	0	spectra/specs_ms.mgf700	InChI=1S/C11H9NO2/c13-11(14)6-5-8-7-12-10-4-2-1-3-9(8)10/h1-7,12H,(H,13,14)/b6-5+	N/A	HCD	Positive	ESI	170.06	lib-00000.mgf	Bronze	3	0.821339	0.538355	9.16E-05	1	NIST17	NIST	170.06	N/A	0	3	C1=CC=C2C(=C1)C(=CN2)C=CC(=O)O	1	170.06	spectra/specs_ms.mgf	CCMSLIB00003453416	98670	UPDATE-SINGLE-ANNOTATED-BRONZE	 
503	M+H	60142963	1	Gabapentin	172.133	YES	Isolated	NIST	0	spectra/specs_ms.mgf503	InChI=1S/C9H17NO2/c10-7-9(6-8(11)12)4-2-1-3-5-9/h1-7,10H2,(H,11,12)	N/A	Q-TOF	Positive	ESI	172.133	lib-00000.mgf	Bronze	3	0.652	1.15239	0.000198364	1	NIST17	NIST	172.133	N/A	0	3	C1CCC(CC1)(CC(=O)[O-])C[NH3+]	1	172.133	spectra/specs_ms.mgf	CCMSLIB00003181089	560500	UPDATE-SINGLE-ANNOTATED-BRONZE	 
84	M+H	74793	1	L-Arginine	175.119	YES	Isolated	NIST	0	spectra/specs_ms.mgf84	InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/t4-/m0/s1	N/A	Q-TOF	Positive	ESI	175.119	lib-00000.mgf	Bronze	3	0.998664	1.13274	0.000198364	1	NIST17	NIST	175.119	N/A	0	8	C(CC(C(=O)[O-])N)C[NH+]=C(N)N	1	175.119	spectra/specs_ms.mgf	CCMSLIB00003196925	1.01E+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
207	M+H	486566	1	(-)-Cotinine	177.102		Isolated	NIST	0	spectra/specs_ms.mgf207	InChI=1S/C10H12N2O/c1-12-9(4-5-10(12)13)8-3-2-6-11-7-8/h2-3,6-7,9H,4-5H2,1H3/t9-/m0/s1	N/A	HCD	Positive	ESI	177.102	lib-00000.mgf	Bronze	3	0.945651	1.12006	0.000198364	1	NIST17	NIST	177.102	N/A	0	3	CN1C(CCC1=O)C2=CN=CC=C2	1	177.102	spectra/specs_ms.mgf	CCMSLIB00003471137	1.05E+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
270	M+H	611596	1	Paraxanthine	181.072	YES	Isolated	NIST	0	spectra/specs_ms.mgf270	InChI=1S/C7H8N4O2/c1-10-3-8-5-4(10)6(12)11(2)7(13)9-5/h3H,1-2H3,(H,9,13)	N/A	HCD	Positive	ESI	181.072	lib-00000.mgf	Bronze	3	0.82567	1.68538	0.000305176	1	NIST17	NIST	181.072	N/A	0	3	CN1C=NC2=C1C(=O)N(C(=O)N2)C	1	181.072	spectra/specs_ms.mgf	CCMSLIB00003327608	521200	UPDATE-SINGLE-ANNOTATED-BRONZE	 
307	M+H	83670	1	Theobromine	181.072	YES	Isolated	NIST	0	spectra/specs_ms.mgf307	InChI=1S/C7H8N4O2/c1-10-3-8-5-4(10)6(12)9-7(13)11(5)2/h3H,1-2H3,(H,9,12,13)	N/A	HCD	Positive	ESI	181.072	lib-00000.mgf	Bronze	3	0.935654	1.17977	0.000213623	1	NIST17	NIST	181.072	N/A	0	8	CN1C=NC2=C1C(=O)NC(=O)N2C	1	181.072	spectra/specs_ms.mgf	CCMSLIB00003291768	850000	UPDATE-SINGLE-ANNOTATED-BRONZE	 
53	M+H-C2H2O	537553	1	N-Acetyl-L-tyrosine	182.081		Isolated	NIST	0	spectra/specs_ms.mgf53	InChI=1S/C11H13NO4/c1-7(13)12-10(11(15)16)6-8-2-4-9(14)5-3-8/h2-5,10,14H,6H2,1H3,(H,12,13)(H,15,16)/t10-/m0/s1	N/A	HCD	Positive	ESI	182.081	lib-00000.mgf	Bronze	3	0.985341	1.17323	0.000213623	1	NIST17	NIST	182.081	N/A	0	7	CC(=O)NC(CC1=CC=C(C=C1)O)C(=O)O	1	182.081	spectra/specs_ms.mgf	CCMSLIB00003445255	5.29E+07	UPDATE-SINGLE-ANNOTATED-BRONZE	 
85	M+H-NH3	73223	1	L-Tryptophan	188.071	YES	Isolated	NIST	0	spectra/specs_ms.mgf85	InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)	N/A	HCD	Positive	ESI	188.071	lib-00000.mgf	Bronze	3	0.971366	1.05473	0.000198364	1	NIST17	NIST	188.071	N/A	0	5	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N	1	188.07	spectra/specs_ms.mgf	CCMSLIB00003305073	901600	UPDATE-SINGLE-ANNOTATED-BRONZE	 
594	M+H	830966	1	1H-Indole-3-propanoic acid	190.086		Isolated	NIST	0	spectra/specs_ms.mgf594	InChI=1S/C11H11NO2/c13-11(14)6-5-8-7-12-10-4-2-1-3-9(8)10/h1-4,7,12H,5-6H2,(H,13,14)	N/A	Q-TOF	Positive	ESI	190.086	lib-00000.mgf	Bronze	3	0.96121	1.60546	0.000305176	1	NIST17	NIST	190.086	N/A	0	3	C1=CC=C2C(=C1)C(=CN2)CCC(=O)O	1	190.086	spectra/specs_ms.mgf	CCMSLIB00003188584	1.24E+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
499	M+H-NH3	2922830	1	L-Kynurenine	192.066	YES	Isolated	NIST	0	spectra/specs_ms.mgf499	InChI=1S/C10H12N2O3/c11-7-4-2-1-3-6(7)9(13)5-8(12)10(14)15/h1-4,8H,5,11-12H2,(H,14,15)	N/A	Q-TOF	Positive	ESI	192.066	lib-00000.mgf	Bronze	3	0.972212	2.62171	0.00050354	1	NIST17	NIST	192.066	N/A	0	7	C1=CC=C(C(=C1)C(=O)CC(C(=O)[O-])[NH3+])N	1	192.065	spectra/specs_ms.mgf	CCMSLIB00003182835	773800	UPDATE-SINGLE-ANNOTATED-BRONZE	 
158	M+H	58082	1	Caffeine	195.088	YES	Isolated	NIST	0	spectra/specs_ms.mgf158	InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3	N/A	HCD	Positive	ESI	195.088	lib-00000.mgf	Bronze	3	0.968547	1.5643	0.000305176	1	NIST17	NIST	195.088	N/A	0	4	CN1C=NC2=C1C(=O)N(C(=O)N2C)C	1	195.087	spectra/specs_ms.mgf	CCMSLIB00003465800	5.97E+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
32	M+H	14992622	1	Acetyl-DL-carnitine	204.123	YES	Isolated	NIST	0	spectra/specs_ms.mgf32	InChI=1S/C9H17NO4/c1-7(11)14-8(5-9(12)13)6-10(2,3)4/h8H,5-6H2,1-4H3	N/A	HCD	Positive	ESI	204.123	lib-00000.mgf	Bronze	3	0.994904	0.52327	0.000106812	1	NIST17	NIST	204.123	N/A	0	7	CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	1	204.123	spectra/specs_ms.mgf	CCMSLIB00003280031	7.14E+07	UPDATE-SINGLE-ANNOTATED-BRONZE	 
81	M+H	73223	1	L-Tryptophan	205.097	YES	Isolated	NIST	0	spectra/specs_ms.mgf81	InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)	N/A	HCD	Positive	ESI	205.097	lib-00000.mgf	Bronze	3	0.982074	0.967172	0.000198364	1	NIST17	NIST	205.097	N/A	0	7	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N	1	205.097	spectra/specs_ms.mgf	CCMSLIB00003305029	1.80E+07	UPDATE-SINGLE-ANNOTATED-BRONZE	 
716	M+H-H2O	51146555	1	2-Hydroxyibuprofen	205.122		Isolated	NIST	0	spectra/specs_ms.mgf716	InChI=1S/C13H18O3/c1-9(12(14)15)11-6-4-10(5-7-11)8-13(2,3)16/h4-7,9,16H,8H2,1-3H3,(H,14,15)	N/A	HCD	Positive	ESI	205.122	lib-00000.mgf	Bronze	3	0.969185	0.520721	0.000106812	1	NIST17	NIST	205.122	N/A	0	9	CC(C1=CC=C(C=C1)CC(C)(C)O)C(=O)O	1	205.122	spectra/specs_ms.mgf	CCMSLIB00003575582	421710	UPDATE-SINGLE-ANNOTATED-BRONZE	 
634	M+H	832973	1	DL-Indole-3-lactic acid	206.081	YES	Isolated	NIST	0	spectra/specs_ms.mgf634	InChI=1S/C11H11NO3/c13-10(11(14)15)5-7-6-12-9-4-2-1-3-8(7)9/h1-4,6,10,12-13H,5H2,(H,14,15)	N/A	HCD	Positive	ESI	206.081	lib-00000.mgf	Bronze	3	0.992126	1.0366	0.000213623	1	NIST17	NIST	206.081	N/A	0	7	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)O	1	206.081	spectra/specs_ms.mgf	CCMSLIB00003472095	1.16E+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
284	M+H	2922830	1	L-Kynurenine	209.092		Isolated	NIST	0	spectra/specs_ms.mgf284	InChI=1S/C10H12N2O3/c11-7-4-2-1-3-6(7)9(13)5-8(12)10(14)15/h1-4,8H,5,11-12H2,(H,14,15)	N/A	HCD	Positive	ESI	209.092	lib-00000.mgf	Bronze	3	0.991852	1.45953	0.000305176	1	NIST17	NIST	209.092	N/A	0	8	C1=CC=C(C(=C1)C(=O)CC(C(=O)[O-])[NH3+])N	1	209.092	spectra/specs_ms.mgf	CCMSLIB00003453122	6.67E+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
130	M+H-H2O	126863	1	2,4,7,9-Tetramethyl-5-decyne-4,7-diol	209.19		Isolated	NIST	0	spectra/specs_ms.mgf130	InChI=1S/C14H26O2/c1-11(2)9-13(5,15)7-8-14(6,16)10-12(3)4/h11-12,15-16H,9-10H2,1-6H3	N/A	HCD	Positive	ESI	209.19	lib-00000.mgf	Bronze	3	0.795601	0.948249	0.000198364	1	NIST17	NIST	209.19	N/A	0	9	CC(C)CC(C)(C#CC(C)(CC(C)C)O)O	1	209.19	spectra/specs_ms.mgf	CCMSLIB00003304560	321900	UPDATE-SINGLE-ANNOTATED-BRONZE	 
231	M+H-C7H11NO	479413688	1	Dodecanoic acid, 12-[[(cyclohexylamino)carbonyl]amino]-	216.196		Isolated	NIST	0	spectra/specs_ms.mgf231	InChI=1S/C19H36N2O3/c22-18(23)15-11-6-4-2-1-3-5-7-12-16-20-19(24)21-17-13-9-8-10-14-17/h17H,1-16H2,(H,22,23)(H2,20,21,24)	N/A	HCD	Positive	ESI	216.196	lib-00000.mgf	Bronze	3	0.823772	0.49405	0.000106812	1	NIST17	NIST	216.196	N/A	0	10	C1CCC(CC1)NC(=O)NCCCCCCCCCCCC(=O)O	1	216.196	spectra/specs_ms.mgf	CCMSLIB00003594812	178800	UPDATE-SINGLE-ANNOTATED-BRONZE	 
211	M+H	20064191	1	L-Propionylcarnitine	218.139	YES	Isolated	NIST	0	spectra/specs_ms.mgf211	InChI=1S/C10H19NO4/c1-5-10(14)15-8(6-9(12)13)7-11(2,3)4/h8H,5-7H2,1-4H3/t8-/m1/s1	N/A	HCD	Positive	ESI	218.139	lib-00000.mgf	Bronze	3	0.986771	0.48965	0.000106812	1	NIST17	NIST	218.139	N/A	0	5	CCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	1	218.139	spectra/specs_ms.mgf	CCMSLIB00003591860	1.60E+07	UPDATE-SINGLE-ANNOTATED-BRONZE	 
722	M+H	599542	1	Pantothenic acid	220.118		Isolated	NIST	0	spectra/specs_ms.mgf722	InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)	N/A	HCD	Positive	ESI	220.118	lib-00000.mgf	Bronze	3	0.964181	0.415926	9.16E-05	1	NIST17	NIST	220.118	N/A	0	9	CC(C)(CO)C(C(=O)NCCC(=O)O)O	1	220.118	spectra/specs_ms.mgf	CCMSLIB00003460404	493000	UPDATE-SINGLE-ANNOTATED-BRONZE	 
